tip1	tip2	taxid1	taxid2	distance
Brucella_oryzae-_-AM041247--_MTCC_4195_T	Brucella_gallinifaecis-_-AJ519939--_Iso_196_T	335286	215590	0.04347
Brucella_pseudintermedia-_-DQ365921--_ADV31_T	Brucella_ceti-_-AM158982--_NCTC_12891_T	370111	120577	0.04112
Brucella_pseudintermedia-_-DQ365921--_ADV31_T	Brucella_microti-_-CP001579--_CCM_4915_T	370111	568815	0.04112
Brucella_pseudintermedia-_-DQ365921--_ADV31_T	Brucella_pinnipedialis-_-AM158981--_NCTC_12890_T	370111	120576	0.04112
Brucella_pseudintermedia-_-DQ365921--_ADV31_T	Brucella_melitensis-_-AF220149--_16M_T	370111	29459	0.04112
Daeguia_caeni-_-EF532794--_K107_T	g__457476	439612	457476	2e-6
g__457476	Daeguia_caeni-_-EF532794--_K107_T	457476	439612	2e-6
Mycoplana_ramosa-_-EU022308--_DSM_7292_T	g__234	40837	234	0.018121
Brucella_endophytica-_-KP721485--_EGI60010_T	g__234	1963359	234	0.018791
g__773	Bartonella_queenslandensis-_-EU111754--_AUST/NH12_T	773	481138	0.016651
Bartonella_kosoyi-_-MN627780--_Tel_Aviv_T	Bartonella_tribocorum-_-AM260525--_506_=_CIP_105476_T	2133959	382640	0.00506
Bartonella_elizabethae-_-L01260--_ATCC_49927_LTP__T	Bartonella_kosoyi-_-MN627780--_Tel_Aviv_T	807	2133959	0.013
Bartonella_tribocorum-_-AM260525--_506_=_CIP_105476_T	Bartonella_kosoyi-_-MN627780--_Tel_Aviv_T	382640	2133959	0.00506
Bartonella_florencae-_-HM622139--_R4_T	Bartonella_raoultii-_-KF792121--_094_/type_materialtype_strain_of_Bartonella_raoultiiT	928210	1457020	0.00649
Bartonella_raoultii-_-KF792121--_094_/type_materialtype_strain_of_Bartonella_raoultiiT	Bartonella_florencae-_-HM622139--_R4_T	1457020	928210	0.00649
Bartonella_pachyuromydis-_-AB602531--_FN15-2_T	Bartonella_krasnovii-_-MN627781--_OE_1-1_T	931097	2267275	0.0058
Bartonella_krasnovii-_-MN627781--_OE_1-1_T	Bartonella_pachyuromydis-_-AB602531--_FN15-2_T	2267275	931097	0.0058
Bartonella_japonica-_-AB440632--_Fuji_18-1_T	Bartonella_silvatica-_-AB440636--_Fuji_23-1_T	357761	357760	0.01261
Bartonella_silvatica-_-AB440636--_Fuji_23-1_T	Bartonella_japonica-_-AB440632--_Fuji_18-1_T	357760	357761	0.01261
Bartonella_jaculi-_-AB602527--_OY2-1_T	Bartonella_krasnovii-_-MN627781--_OE_1-1_T	686226	2267275	0.0154
Bartonella_alsatica-_-AIME01000002--_IBS_382_T	Bartonella_birtlesii-_-AKIP01000005--_IBS_325_T	1094551	1095900	0.01442999999999999
Bartonella_vinsonii_subsp._berkhoffii-_-L35052--_93-C01_T	Bartonella_alsatica-_-AIME01000002--_IBS_382_T	40933	1094551	0.02223
Bartonella_birtlesii-_-AKIP01000005--_IBS_325_T	Bartonella_taylorii-_-Z31350--_M6_LTP__T	1095900	33046	0.00518
Bartonella_taylorii-_-Z31350--_M6_LTP__T	Bartonella_birtlesii-_-AKIP01000005--_IBS_325_T	33046	1095900	0.00518
Bartonella_vinsonii-_-M73230--_Baker_strain_T	Bartonella_vinsonii_subsp._vinsonii-_-L01259--_ATCC_VR-152_LTP__T	33047	33047	7.300000000000001e-4
Bartonella_vinsonii_subsp._vinsonii-_-L01259--_ATCC_VR-152_LTP__T	Bartonella_vinsonii-_-M73230--_Baker_strain_T	33047	33047	7.300000000000001e-4
Bartonella_grahamii-_-Z31349--_V2_LTP__T	Bartonella_vinsonii_subsp._vinsonii-_-L01259--_ATCC_VR-152_LTP__T	33045	33047	0.00437
Bartonella_doshiae-_-AILV01000006--_NCTC_12862_T	Bartonella_vinsonii_subsp._vinsonii-_-L01259--_ATCC_VR-152_LTP__T	1094553	33047	0.00434
Bartonella_rattaustraliani-_-EU111749--_AUST/NH4_T	Bartonella_queenslandensis-_-EU111754--_AUST/NH12_T	481139	481138	0.00433
Bartonella_fuyuanensis-_-KJ361607--_AA137HXZ_T	Bartonella_rattaustraliani-_-EU111749--_AUST/NH4_T	1460968	481139	0.01162
Bartonella_queenslandensis-_-EU111754--_AUST/NH12_T	Bartonella_rattaustraliani-_-EU111749--_AUST/NH4_T	481138	481139	0.00433
Bartonella_acomydis-_-AB602533--_KS2-1_T	Bartonella_koehlerae-_-AF076237--_C-29-_ATCC_700693_T	686234	1134510	0.01175
Bartonella_koehlerae-_-AF076237--_C-29-_ATCC_700693_T	Bartonella_acomydis-_-AB602533--_KS2-1_T	1134510	686234	0.01175
Bartonella_senegalensis-_-HM636442--_OS02_T	Bartonella_heixiaziensis-_-KJ361623--_CR90HXZ_T	929794	1461000	0.01044
Bartonella_heixiaziensis-_-KJ361623--_CR90HXZ_T	Bartonella_henselae-_-BX897699--_Houston-1_T	1461000	283166	0.00828
Bartonella_henselae-_-BX897699--_Houston-1_T	Bartonella_queenslandensis-_-EU111754--_AUST/NH12_T	283166	481138	0.00793
Bartonella_schoenbuchensis-_-AJ278187--_R1_T	Bartonella_bovis-_-AGWA01000019--_91-4_T	687861	1094491	0.00433999999999999
Bartonella_bovis-_-AGWA01000019--_91-4_T	Bartonella_schoenbuchensis-_-AJ278187--_R1_T	1094491	687861	0.00433999999999999
Bartonella_chomelii-_-AY254309--_A828_LTP__T	Bartonella_schoenbuchensis-_-AJ278187--_R1_T	236402	687861	0.00439999999999999
Bartonella_capreoli-_-AF293389--_IBS_193_T	Bartonella_henselae-_-BX897699--_Houston-1_T	155192	283166	0.01012
Bartonella_callosciuri-_-AB602530--_BR11-1_T	Bartonella_queenslandensis-_-EU111754--_AUST/NH12_T	686223	481138	0.01022
Bartonella_quintana-_-M11927--_Fuller_T	Bartonella_callosciuri-_-AB602530--_BR11-1_T	803	686223	0.01308
Bartonella_coopersplainsensis-_-EU111759--_AUST/NH20_T	Bartonella_queenslandensis-_-EU111754--_AUST/NH12_T	481137	481138	0.01297
Bartonella_refiksaydamii-_-LR736793--_B191_T	Bartonella_queenslandensis-_-EU111754--_AUST/NH12_T	2654951	481138	0.00504
Bartonella_bacilliformis-_-CP014012--_ATCC_35685D-5_n_T	Bartonella_ancashensis-_-KP720643--_20.00_T	774	1318743	0.01658
Bartonella_ancashensis-_-KP720643--_20.00_T	Bartonella_bacilliformis-_-CP014012--_ATCC_35685D-5_n_T	1318743	774	0.01658
Bartonella_rochalimae-_-DQ683196--_BMGH_T	Bartonella_clarridgeiae-_-X89208--_ATCC_51734_T	685782	46358	0.01083
Bartonella_clarridgeiae-_-X89208--_ATCC_51734_T	Bartonella_rochalimae-_-DQ683196--_BMGH_T	46358	685782	0.01083
Bartonella_apis-_-KP987884--_PEB0122_T	g__773	1686310	773	0.019481
g__28100	Phyllobacterium_salinisoli-_-LT614649--_LLAN61_T	28100	1899321	0.012331
Phyllobacterium_catacumbae-_-AY636000--_CSC19_T	Phyllobacterium_ifriqiyense-_-AY785325--_STM_370_T	281785	314238	0.0058
Phyllobacterium_ifriqiyense-_-AY785325--_STM_370_T	Phyllobacterium_catacumbae-_-AY636000--_CSC19_T	314238	281785	0.0058
Phyllobacterium_loti-_-KC577468--_S658_T	Phyllobacterium_trifolii-_-AY786080--_PETP02_T	1334106	300193	0.02817999999999999
Phyllobacterium_trifolii-_-AY786080--_PETP02_T	Phyllobacterium_bourgognense-_-AY785320--_STM_201_T	300193	314236	0.01523
Phyllobacterium_bourgognense-_-AY785320--_STM_201_T	Phyllobacterium_trifolii-_-AY786080--_PETP02_T	314236	300193	0.01523
Phyllobacterium_endophyticum-_-JN848778--_PEPV15_T	Phyllobacterium_bourgognense-_-AY785320--_STM_201_T	1149773	314236	0.02166
Phyllobacterium_zundukense-_-KX426256--_Tri-48_T	Phyllobacterium_bourgognense-_-AY785320--_STM_201_T	1867719	314236	0.02204
Phyllobacterium_brassicacearum-_-AY785319--_STM_196_T	Phyllobacterium_sophorae-_-KJ685937--_CCBAU_03422_T	314235	1520277	0.00876
Phyllobacterium_sophorae-_-KJ685937--_CCBAU_03422_T	Phyllobacterium_brassicacearum-_-AY785319--_STM_196_T	1520277	314235	0.00876
Phyllobacterium_calauticae-_-NZ_JAGENB010000000--_R2-JLT	Phyllobacterium_myrsinacearum-_-AB681132--_NBRC_100019_T	2817027	28101	0.00146
Phyllobacterium_myrsinacearum-_-AB681132--_NBRC_100019_T	Phyllobacterium_calauticae-_-NZ_JAGENB010000000--_R2-JLT	28101	2817027	0.00146
Phyllobacterium_leguminum-_-AJ968695--_ORS_1419_T	Phyllobacterium_salinisoli-_-LT614649--_LLAN61_T	314237	1899321	0.02312
Phyllobacterium_salinisoli-_-LT614649--_LLAN61_T	g__28100	1899321	28100	0.012331
Phyllobacterium_phragmitis-_-MG706142--_1N-3_T	Phyllobacterium_salinisoli-_-LT614649--_LLAN61_T	2670329	1899321	0.01372
Liberibacter_crescens-_-JX430025--_BT-1_T	g__34019	1273132	34019	2e-6
g__34019	Liberibacter_crescens-_-JX430025--_BT-1_T	34019	1273132	2e-6
Tianweitania_sediminis-_-KJ577584--_Z8_T	g__1763452	1502156	1763452	2e-6
g__1763452	Tianweitania_sediminis-_-KJ577584--_Z8_T	1763452	1502156	2e-6
Corticibacterium_populi-_-KP170489--_16B10-2-7_T	g__1840210	1607949	1840210	2e-6
g__1840210	Corticibacterium_populi-_-KP170489--_16B10-2-7_T	1840210	1607949	2e-6
g__274591	Hoeflea_alexandrii-_-AJ786600--_AM1V30_T	274591	288436	0.007251
Hoeflea_olei-_-HG965759--_JC234_T	g__274591	1480615	274591	0.015891
Hoeflea_alexandrii-_-AJ786600--_AM1V30_T	g__274591	288436	274591	0.007251
Hoeflea_halophila-_-GU564401--_JG120-1_T	Hoeflea_alexandrii-_-AJ786600--_AM1V30_T	714899	288436	0.01372
Lentilitoribacter_donghaensis-_-JX139717--_BH-4_T	g__1649463	1215923	1649463	2e-6
g__1649463	Lentilitoribacter_donghaensis-_-JX139717--_BH-4_T	1649463	1215923	2e-6
Hoeflea_phototrophica-_-ABIA02000018--_DFL-43_T	Hoeflea_marina-_-AY598817--_LMG_128_T	244596	274592	0.02840999999999999
Hoeflea_marina-_-AY598817--_LMG_128_T	g__274591	274592	274591	0.026891
Hoeflea_anabaenae-_-DQ364238--_WH2K_T	g__274591	369795	274591	0.029731
g__152180	Ahrensia_marina-_-KJ700633--_LZD062_T	152180	1514904	0.010841
Ahrensia_kielensis-_-ARFW01000012--_DSM_5890_T	g__152180	1120961	152180	0.026011
Ahrensia_marina-_-KJ700633--_LZD062_T	g__152180	1514904	152180	0.010841
g__1434035	Pseudahrensia_todarodis-_-KM273259--_KHS02_T	1434035	1532856	0.006501
Pseudahrensia_aquimaris-_-GU575117--_HDW-32_T	g__1434035	744461	1434035	0.007221
Pseudahrensia_todarodis-_-KM273259--_KHS02_T	g__1434035	1532856	1434035	0.006501
Nitratireductor_basaltis-_-EU143347--_J3_T	Oceaniradius_stylonematis-_-MF629007--_StC1_T	1231186	2184161	0.036461
Nitratireductor_basaltis-_-EU143347--_J3_T	g__2679892	1231186	2679892	0.036461
g__1594166	Oricola_thermophila-_-MK990012--_MEBiC13590_T	1594166	2742145	0.005281
Oricola_cellulosilytica-_-KF582604--_CC-AMH-0_T	g__1594166	1429082	1594166	0.022381
Oricola_indica-_-MW922723--_JL-62_T	g__1594166	2872591	1594166	0.013011
Oricola_thermophila-_-MK990012--_MEBiC13590_T	g__1594166	2742145	1594166	0.005281
Roseitalea_porphyridii-_-KX268598--_MA7-20_T	g__1915401	1852022	1915401	2e-6
g__1915401	Roseitalea_porphyridii-_-KX268598--_MA7-20_T	1915401	1852022	2e-6
Pseudohoeflea_suaedae-_-HM800935--_YC6898_T	g__1915405	877384	1915405	2e-6
g__1915405	Pseudohoeflea_suaedae-_-HM800935--_YC6898_T	1915405	877384	2e-6
Oceaniradius_stylonematis-_-MF629007--_StC1_T	g__2679892	2184161	2679892	2e-6
g__2679892	Oceaniradius_stylonematis-_-MF629007--_StC1_T	2679892	2184161	2e-6
g__69278	Aquamicrobium_ahrensii-_-AM884149--_905/1_T	69278	469551	0.005061
Pseudaminobacter_salicylatoxidans-_-AF072542--_BN12_T	Pseudaminobacter_granuli-_-KX066102--_Gr-2_T	93369	2685871	0.01447
Pseudaminobacter_granuli-_-KX066102--_Gr-2_T	Pseudaminobacter_defluvii-_-AB680636--_NBRC_14570_T	2685871	93380	0.01377
Pseudaminobacter_arsenicus-_-KX129748--_CB3_T	Pseudaminobacter_granuli-_-KX066102--_Gr-2_T	1851146	2685871	0.01448
Pseudaminobacter_defluvii-_-AB680636--_NBRC_14570_T	Pseudaminobacter_granuli-_-KX066102--_Gr-2_T	93380	2685871	0.01377
Aquamicrobium_aestuarii-_-GU199003--_G210_T	g__69278	698647	69278	0.019541
Aquamicrobium_aerolatum-_-FM210786--_Sa14_T	Aquamicrobium_soli-_-KU877213--_NK8_T	561088	1811518	0.03365
Aquamicrobium_soli-_-KU877213--_NK8_T	Aquamicrobium_aerolatum-_-FM210786--_Sa14_T	1811518	561088	0.03365
Aquamicrobium_lusatiense-_-AJ132378--_DSM11099T_T	Aquamicrobium_segne-_-AM884145--_1006/1_T	89772	469547	0.02672
Aquamicrobium_segne-_-AM884145--_1006/1_T	Aquamicrobium_lusatiense-_-AJ132378--_DSM11099T_T	469547	89772	0.02672
Aquamicrobium_defluvii-_-Y15403--_DSM_11603_T	g__69278	69279	69278	0.021001
Aquamicrobium_terrae-_-KC840671--_hun6_T	g__69278	1324945	69278	0.018101
Aquamicrobium_ahrensii-_-AM884149--_905/1_T	g__69278	469551	69278	0.005061
g__2911176	g__93368	2911176	93368	0.003632
Mesorhizobium_opportunistum-_-AY601515--_WSM2075_T	Mesorhizobium_comanense-_-MT623515--_3P27G6T	536019	2502215	0.00361
Mesorhizobium_erdmanii-_-KM192334--_USDA_3471_T	Mesorhizobium_comanense-_-MT623515--_3P27G6T	1040983	2502215	0.00217
Mesorhizobium_comanense-_-MT623515--_3P27G6T	Mesorhizobium_erdmanii-_-KM192334--_USDA_3471_T	2502215	1040983	0.00217
Mesorhizobium_jarvisii-_-KM192335--_ATCC_33669_T	Mesorhizobium_carmichaelinearum-_-JQ963057--_MonP1N1_T	1562532	1208188	0.0029
Mesorhizobium_carmichaelinearum-_-JQ963057--_MonP1N1_T	Mesorhizobium_huakuii-_-AB680816--_NBRC_15243_T	1208188	28104	0.00147
Mesorhizobium_huakuii-_-AB680816--_NBRC_15243_T	Mesorhizobium_carmichaelinearum-_-JQ963057--_MonP1N1_T	28104	1208188	0.00147
Mesorhizobium_plurifarium-_-Y14158--_LMG_11892_T	Mesorhizobium_atlanticum-_-MH128379--_CNPSo_3140_T	69974	2233532	2e-5
Mesorhizobium_plurifarium-_-Y14158--_LMG_11892_T	Mesorhizobium_acaciae-_-JQ697665--_RITF741_T	69974	1326083	2e-5
Mesorhizobium_atlanticum-_-MH128379--_CNPSo_3140_T	Mesorhizobium_plurifarium-_-Y14158--_LMG_11892_T	2233532	69974	2e-5
Mesorhizobium_atlanticum-_-MH128379--_CNPSo_3140_T	Mesorhizobium_acaciae-_-JQ697665--_RITF741_T	2233532	1326083	2e-5
Mesorhizobium_acaciae-_-JQ697665--_RITF741_T	Mesorhizobium_plurifarium-_-Y14158--_LMG_11892_T	1326083	69974	2e-5
Mesorhizobium_acaciae-_-JQ697665--_RITF741_T	Mesorhizobium_atlanticum-_-MH128379--_CNPSo_3140_T	1326083	2233532	2e-5
Mesorhizobium_shonense-_-GQ847890--_AC39a_T	Mesorhizobium_silamurunense-_-EU399698--_CCBAU_01550_T	1209948	499528	0.00218
Mesorhizobium_silamurunense-_-EU399698--_CCBAU_01550_T	Mesorhizobium_shonense-_-GQ847890--_AC39a_T	499528	1209948	0.00218
Mesorhizobium_hawassense-_-GQ847899--_AC99b_T	Mesorhizobium_plurifarium-_-Y14158--_LMG_11892_T	1209954	69974	0.00798
Mesorhizobium_hawassense-_-GQ847899--_AC99b_T	Mesorhizobium_atlanticum-_-MH128379--_CNPSo_3140_T	1209954	2233532	0.00798
Mesorhizobium_hawassense-_-GQ847899--_AC99b_T	Mesorhizobium_acaciae-_-JQ697665--_RITF741_T	1209954	1326083	0.00798
Mesorhizobium_hawassense-_-GQ847899--_AC99b_T	Mesorhizobium_silamurunense-_-EU399698--_CCBAU_01550_T	1209954	499528	0.00798
Mesorhizobium_abyssinicae-_-GQ847896--_AC98c_T	Mesorhizobium_huakuii-_-AB680816--_NBRC_15243_T	1209958	28104	0.0058
Mesorhizobium_amorphae-_-AF041442--_ACCC_19665_T	Mesorhizobium_waimense-_-KC237387--_ICMP_19557_T	71433	1300307	0.00151
Mesorhizobium_septentrionale-_-AF508207--_SDW_014_T	Mesorhizobium_amorphae-_-AF041442--_ACCC_19665_T	241413	71433	0.00289
Mesorhizobium_waimense-_-KC237387--_ICMP_19557_T	Mesorhizobium_amorphae-_-AF041442--_ACCC_19665_T	1300307	71433	0.00151
Mesorhizobium_delmotii-_-KP242314--_STM4623_T	Mesorhizobium_prunaredense-_-KP242313--_STM4891_T	1631247	1631249	2e-5
Mesorhizobium_delmotii-_-KP242314--_STM4623_T	Mesorhizobium_wenxiniae-_-NPKH01000000--_WYCCWR_10195_T	1631247	2014805	2e-5
Mesorhizobium_prunaredense-_-KP242313--_STM4891_T	Mesorhizobium_delmotii-_-KP242314--_STM4623_T	1631249	1631247	2e-5
Mesorhizobium_prunaredense-_-KP242313--_STM4891_T	Mesorhizobium_wenxiniae-_-NPKH01000000--_WYCCWR_10195_T	1631249	2014805	2e-5
Mesorhizobium_wenxiniae-_-NPKH01000000--_WYCCWR_10195_T	Mesorhizobium_delmotii-_-KP242314--_STM4623_T	2014805	1631247	2e-5
Mesorhizobium_wenxiniae-_-NPKH01000000--_WYCCWR_10195_T	Mesorhizobium_prunaredense-_-KP242313--_STM4891_T	2014805	1631249	2e-5
Mesorhizobium_muleiense-_-HQ316710--_CCBAU_83963_T	Mesorhizobium_delmotii-_-KP242314--_STM4623_T	1004279	1631247	0.00146
Mesorhizobium_muleiense-_-HQ316710--_CCBAU_83963_T	Mesorhizobium_prunaredense-_-KP242313--_STM4891_T	1004279	1631249	0.00146
Mesorhizobium_muleiense-_-HQ316710--_CCBAU_83963_T	Mesorhizobium_wenxiniae-_-NPKH01000000--_WYCCWR_10195_T	1004279	2014805	0.00146
Mesorhizobium_robiniae-_-EU849582--_CCNWYC_115_T	Mesorhizobium_delmotii-_-KP242314--_STM4623_T	559315	1631247	0.00223
Mesorhizobium_robiniae-_-EU849582--_CCNWYC_115_T	Mesorhizobium_prunaredense-_-KP242313--_STM4891_T	559315	1631249	0.00223
Mesorhizobium_robiniae-_-EU849582--_CCNWYC_115_T	Mesorhizobium_wenxiniae-_-NPKH01000000--_WYCCWR_10195_T	559315	2014805	0.00223
Mesorhizobium_escarrei-_-KP242308--_STM5069T	Mesorhizobium_ventifaucium-_-KU555366--_STM4922_T	666018	666020	2e-5
Mesorhizobium_escarrei-_-KP242308--_STM5069T	Mesorhizobium_onobrychidis-_-MW915806--_OM4T	666018	2775404	2e-5
Mesorhizobium_ventifaucium-_-KU555366--_STM4922_T	Mesorhizobium_escarrei-_-KP242308--_STM5069T	666020	666018	2e-5
Mesorhizobium_ventifaucium-_-KU555366--_STM4922_T	Mesorhizobium_onobrychidis-_-MW915806--_OM4T	666020	2775404	2e-5
Mesorhizobium_onobrychidis-_-MW915806--_OM4T	Mesorhizobium_escarrei-_-KP242308--_STM5069T	2775404	666018	2e-5
Mesorhizobium_onobrychidis-_-MW915806--_OM4T	Mesorhizobium_ventifaucium-_-KU555366--_STM4922_T	2775404	666020	2e-5
Mesorhizobium_mediterraneum-_-AM181745--_LMG_17148_T	Mesorhizobium_temperatum-_-AF508208--_SDW_018_T	43617	241416	7.300000000000001e-4
Mesorhizobium_temperatum-_-AF508208--_SDW_018_T	Mesorhizobium_mediterraneum-_-AM181745--_LMG_17148_T	241416	43617	7.300000000000001e-4
Mesorhizobium_caraganae-_-EF149003--_CCBAU_11299_T	Mesorhizobium_neociceri-_-HF931050--_CCANP35T	483206	1307853	2e-5
Mesorhizobium_neociceri-_-HF931050--_CCANP35T	Mesorhizobium_caraganae-_-EF149003--_CCBAU_11299_T	1307853	483206	2e-5
Mesorhizobium_sanjuanii-_-MF979853--_BSA136_T	Mesorhizobium_gobiense-_-EF035064--_CCBAU_83330_T	2037900	410756	2e-5
Mesorhizobium_sanjuanii-_-MF979853--_BSA136_T	Mesorhizobium_helmanticense-_-KT899885--_CSLC115N_T	2037900	1776423	2e-5
Mesorhizobium_sanjuanii-_-MF979853--_BSA136_T	Mesorhizobium_metallidurans-_-AM930381--_STM_2683_T	2037900	1297569	2e-5
Mesorhizobium_gobiense-_-EF035064--_CCBAU_83330_T	Mesorhizobium_sanjuanii-_-MF979853--_BSA136_T	410756	2037900	2e-5
Mesorhizobium_gobiense-_-EF035064--_CCBAU_83330_T	Mesorhizobium_helmanticense-_-KT899885--_CSLC115N_T	410756	1776423	2e-5
Mesorhizobium_gobiense-_-EF035064--_CCBAU_83330_T	Mesorhizobium_metallidurans-_-AM930381--_STM_2683_T	410756	1297569	2e-5
Mesorhizobium_helmanticense-_-KT899885--_CSLC115N_T	Mesorhizobium_sanjuanii-_-MF979853--_BSA136_T	1776423	2037900	2e-5
Mesorhizobium_helmanticense-_-KT899885--_CSLC115N_T	Mesorhizobium_gobiense-_-EF035064--_CCBAU_83330_T	1776423	410756	2e-5
Mesorhizobium_helmanticense-_-KT899885--_CSLC115N_T	Mesorhizobium_metallidurans-_-AM930381--_STM_2683_T	1776423	1297569	2e-5
Mesorhizobium_metallidurans-_-AM930381--_STM_2683_T	Mesorhizobium_sanjuanii-_-MF979853--_BSA136_T	1297569	2037900	2e-5
Mesorhizobium_metallidurans-_-AM930381--_STM_2683_T	Mesorhizobium_gobiense-_-EF035064--_CCBAU_83330_T	1297569	410756	2e-5
Mesorhizobium_metallidurans-_-AM930381--_STM_2683_T	Mesorhizobium_helmanticense-_-KT899885--_CSLC115N_T	1297569	1776423	2e-5
Mesorhizobium_tianshanense-_-AF041447--_A-1BS-_USDA_3592_T	Mesorhizobium_tarimense-_-EF035058--_CCBAU_83306_T	39844	410755	7.300000000000001e-4
Mesorhizobium_tarimense-_-EF035058--_CCBAU_83306_T	Mesorhizobium_tianshanense-_-AF041447--_A-1BS-_USDA_3592_T	410755	39844	7.300000000000001e-4
Mesorhizobium_tamadayense-_-AM491621--_Ala-3_T	Mesorhizobium_tarimense-_-EF035058--_CCBAU_83306_T	425306	410755	0.00507
Mesorhizobium_albiziae-_-DQ100066--_CCBAU_61158_T	Aquibium_microcysteis-_-MT703887--_NIBR3_/type_materialtype_strain_of_Aquibium_microcysteisT	335020	675281	0.0426
Aquibium_microcysteis-_-MT703887--_NIBR3_/type_materialtype_strain_of_Aquibium_microcysteisT	Mesorhizobium_albiziae-_-DQ100066--_CCBAU_61158_T	675281	335020	0.0426
Mesorhizobium_terrae-_-MK621282--_NIBRBAC000500504_T	Mesorhizobium_qingshengii-_-JQ339788--_CCBAU_33460_T	2725666	1165689	0.01883
Mesorhizobium_sophorae-_-KC237424--_ICMP_19535_T	Mesorhizobium_waitakense-_-KC237413--_ICMP_19523_T	1300294	1300283	2e-5
Mesorhizobium_waitakense-_-KC237413--_ICMP_19523_T	Mesorhizobium_sophorae-_-KC237424--_ICMP_19535_T	1300283	1300294	2e-5
Mesorhizobium_calcicola-_-KC237406--_ICMP_19560_T	Mesorhizobium_sophorae-_-KC237424--_ICMP_19535_T	1300310	1300294	0.0031
Mesorhizobium_calcicola-_-KC237406--_ICMP_19560_T	Mesorhizobium_waitakense-_-KC237413--_ICMP_19523_T	1300310	1300283	0.0031
Mesorhizobium_kowhaii-_-KC237394--_ICMP_19512_T	Mesorhizobium_newzealandense-_-KC237410--_ICMP_19545_T	1300272	1300302	0.003
Mesorhizobium_newzealandense-_-KC237410--_ICMP_19545_T	Mesorhizobium_sangaii-_-EU514525--_SCAU7_T	1300302	505389	0.00222
Mesorhizobium_sangaii-_-EU514525--_SCAU7_T	Mesorhizobium_newzealandense-_-KC237410--_ICMP_19545_T	505389	1300302	0.00222
Mesorhizobium_cantuariense-_-KC237397--_ICMP_19515_T	Mesorhizobium_norvegicum-_-MK908404--_10.2.2_T	1300275	1085774	0.00367
Mesorhizobium_cantuariense-_-KC237397--_ICMP_19515_T	Mesorhizobium_loti-_-X67229--_LMG_6125_T	1300275	381	0.00367
Mesorhizobium_norvegicum-_-MK908404--_10.2.2_T	Mesorhizobium_loti-_-X67229--_LMG_6125_T	1085774	381	2e-5
Mesorhizobium_loti-_-X67229--_LMG_6125_T	Mesorhizobium_norvegicum-_-MK908404--_10.2.2_T	381	1085774	2e-5
Mesorhizobium_ciceri-_-U07934--_UPM-Ca7_T	Mesorhizobium_norvegicum-_-MK908404--_10.2.2_T	39645	1085774	0.00507
Mesorhizobium_ciceri-_-U07934--_UPM-Ca7_T	Mesorhizobium_loti-_-X67229--_LMG_6125_T	39645	381	0.00507
Mesorhizobium_ciceri-_-U07934--_UPM-Ca7_T	Mesorhizobium_shangrilense-_-EU074203--_CCBAU_65327_T	39645	460060	0.00507
Mesorhizobium_ciceri-_-U07934--_UPM-Ca7_T	Mesorhizobium_qingshengii-_-JQ339788--_CCBAU_33460_T	39645	1165689	0.00507
Mesorhizobium_australicum-_-AY601516--_WSM2073_T	Mesorhizobium_shangrilense-_-EU074203--_CCBAU_65327_T	754035	460060	0.00362
Mesorhizobium_shangrilense-_-EU074203--_CCBAU_65327_T	Mesorhizobium_qingshengii-_-JQ339788--_CCBAU_33460_T	460060	1165689	0.00292
Mesorhizobium_qingshengii-_-JQ339788--_CCBAU_33460_T	Mesorhizobium_shangrilense-_-EU074203--_CCBAU_65327_T	1165689	460060	0.00292
g__31988	Aminobacter_aminovorans-_-AJ011759--_DSM7048T_T	31988	83263	0.003611
Aminobacter_aganoensis-_-AJ011760--_DSM7051T_T	Aminobacter_niigataensis-_-AJ011761--_DSM7050T_T	83264	83265	2e-5
Aminobacter_niigataensis-_-AJ011761--_DSM7050T_T	Aminobacter_aganoensis-_-AJ011760--_DSM7051T_T	83265	83264	2e-5
Aminobacter_ciceronei-_-AF034798--_IMB-1_T	Aminobacter_aganoensis-_-AJ011760--_DSM7051T_T	150723	83264	0.00362
Aminobacter_ciceronei-_-AF034798--_IMB-1_T	Aminobacter_niigataensis-_-AJ011761--_DSM7050T_T	150723	83265	0.00362
Aminobacter_aminovorans-_-AJ011759--_DSM7048T_T	Aminobacter_aganoensis-_-AJ011760--_DSM7051T_T	83263	83264	0.0029
Aminobacter_aminovorans-_-AJ011759--_DSM7048T_T	Aminobacter_niigataensis-_-AJ011761--_DSM7050T_T	83263	83265	0.0029
Aminobacter_lissarensis-_-AF107722--_CC495_T	Aminobacter_carboxidus-_-MN744352--_DSM_1086T_T	305698	376165	7.300000000000001e-4
Aminobacter_carboxidus-_-MN744352--_DSM_1086T_T	Aminobacter_lissarensis-_-AF107722--_CC495_T	376165	305698	7.300000000000001e-4
Aminobacter_anthyllidis-_-FR869633--_STM_4645_T	Aminobacter_carboxidus-_-MN744352--_DSM_1086T_T	1035067	376165	0.0065
Mesorhizobium_chacoense-_-AJ278249--_PR5_T	Mesorhizobium_qingshengii-_-JQ339788--_CCBAU_33460_T	126843	1165689	0.02178
Mesorhizobium_alhagi-_-AHAM01000052--_CCNWXJ12-2_T	Mesorhizobium_camelthorni-_-EU169581--_CCNWXJ40-4_T	1107882	475069	0.00729
